,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
25,2023-01-25,25.41,22.24,22.77,5284710.97,125431229.78,24.51,direct,
26,2023-01-26,25.22,23.79,24.51,3024929.42,74283958.87,24.35,direct,
27,2023-01-27,24.95,23.36,24.35,3618766.16,87038058.69,24.44,direct,
28,2023-01-28,25.19,23.74,24.44,1813018.67,44093898.41,24.01,direct,
29,2023-01-29,26.76,23.73,24.01,4025288.24,102498251.74,26.08,direct,
30,2023-01-30,26.32,23.29,26.08,4465263.73,109362775.54,23.97,direct,
31,2023-01-31,24.46,23.49,23.97,2511422.16,60266493.82,23.93,direct,
32,2023-02-01,25.2,22.51,23.93,4564231.8,108523663.73,25.0,direct,
33,2023-02-02,26.14,24.12,25.0,4348122.0,109357957.57,24.32,direct,
34,2023-02-03,25.22,24.05,24.32,2855668.52,70127686.77,24.68,direct,
35,2023-02-04,24.94,24.2,24.68,935122.41,23004871.92,24.36,direct,
36,2023-02-05,24.47,23.05,24.36,1790002.54,42459812.18,23.49,direct,
37,2023-02-06,23.73,22.51,23.49,1538910.85,35635388.03,22.69,direct,
38,2023-02-07,23.96,22.55,22.69,2381944.06,55393189.81,23.84,direct,
39,2023-02-08,24.2,22.81,23.84,1778403.82,41744087.1,23.22,direct,
40,2023-02-09,23.34,20.01,23.22,3179112.6,69661953.13,20.47,direct,
41,2023-02-10,21.21,19.71,20.47,2528073.07,52209262.99,20.13,direct,
42,2023-02-11,20.92,20.11,20.13,1019733.58,20802522.2,20.82,direct,
43,2023-02-12,22.43,20.63,20.82,1900438.7,40873349.6,21.51,direct,
44,2023-02-13,21.6,19.76,21.51,2763693.25,56902152.93,20.78,direct,
45,2023-02-14,22.38,20.69,20.78,3127307.48,67451898.71,21.85,direct,
46,2023-02-15,23.98,21.46,21.85,2839483.85,64533089.37,23.87,direct,
47,2023-02-16,24.15,22.21,23.87,3444216.87,80695240.37,22.26,direct,
48,2023-02-17,23.56,22.04,22.26,2109039.54,48246530.17,23.17,direct,
49,2023-02-18,23.92,22.93,23.17,1228432.23,28826528.41,23.47,direct,
50,2023-02-19,25.63,23.22,23.47,3095573.15,75989614.31,24.85,direct,
51,2023-02-20,27.11,24.13,24.85,4632944.61,120845651.18,26.26,direct,
52,2023-02-21,26.61,24.5,26.26,3199162.9,81340386.05,24.98,direct,
53,2023-02-22,25.23,23.22,24.98,3502880.85,83511817.6,24.17,direct,
54,2023-02-23,24.7,23.61,24.17,2043966.7,49267607.38,23.92,direct,
55,2023-02-24,24.14,22.49,23.92,2139995.26,49847752.08,23.08,direct,
56,2023-02-25,23.33,21.46,23.07,1497905.13,33529910.0,22.4,direct,
57,2023-02-26,23.53,22.24,22.4,1304479.62,29942794.53,23.28,direct,
58,2023-02-27,23.41,22.33,23.28,1973417.58,45184748.78,22.67,direct,
59,2023-02-28,22.77,21.8,22.67,1713390.02,38176238.55,21.88,direct,
60,2023-03-01,22.89,21.7,21.88,1434134.22,32153652.95,22.51,direct,
61,2023-03-02,22.66,21.69,22.51,1416151.15,31155232.7,21.99,direct,
62,2023-03-03,22.01,20.4,21.99,2171732.67,45763308.65,21.42,direct,
63,2023-03-04,21.61,20.3,21.42,764652.14,16101235.47,20.99,direct,
64,2023-03-05,21.67,20.84,20.99,1581049.91,33561929.58,20.97,direct,
65,2023-03-06,21.16,20.48,20.97,1826091.23,37992113.26,20.62,direct,
66,2023-03-07,20.95,19.73,20.62,2629195.67,53461794.67,20.24,direct,
67,2023-03-08,20.38,18.14,20.24,4279252.34,81522052.95,18.42,direct,
68,2023-03-09,18.75,16.73,18.42,5920710.97,105502413.57,17.35,direct,
69,2023-03-10,18.41,16.02,17.35,7733108.26,133416568.37,18.24,direct,
70,2023-03-11,19.12,17.05,18.24,3772210.37,67762821.86,18.21,direct,
71,2023-03-12,20.63,17.88,18.21,4075182.7,77122006.66,20.32,direct,
72,2023-03-13,21.47,18.9,20.32,7637676.58,154278866.04,20.47,direct,
73,2023-03-14,22.19,19.85,20.47,6614947.51,139806672.07,20.93,direct,
74,2023-03-15,21.55,18.77,20.93,5266573.96,105480852.93,19.32,direct,
75,2023-03-16,19.95,18.97,19.32,3042224.88,59302142.14,19.72,direct,
76,2023-03-17,21.71,19.47,19.72,4509074.52,91865214.82,21.65,direct,
77,2023-03-18,22.92,21.12,21.65,4461864.14,98823416.73,21.26,direct,
78,2023-03-19,22.49,21.25,21.26,2423668.46,53174993.02,21.91,direct,
79,2023-03-20,23.97,21.45,21.91,6932667.31,158131836.5,22.2,direct,
80,2023-03-21,23.37,21.61,22.2,4607824.98,103902403.79,22.61,direct,
81,2023-03-22,23.12,21.01,22.61,5038675.7,111854504.66,21.46,direct,
82,2023-03-23,22.77,21.16,21.46,3432875.38,75357481.27,22.21,direct,
